,node,band_clean,interaction_kind,comparison,group_a,group_b,test,stat,p,normal_x,normal_y,mean_x,mean_y,diff_x_minus_y,cliffs_delta,n_x,n_y,p_fdr
0,PCA_R,alpha,with mouse cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,2.9638618755881656,0.008044225207292564,True,True,0.8550038866987318,0.632310978329319,0.2226929083694128,0.6694214876033058,11,11,0.04295061879334542
1,PCA_R,alpha,with mouse cup,female_genotype,3xTg_f,Ntg_f,Mann–Whitney U,50.0,0.5114059218501164,False,True,0.620629153905884,0.6688070550377375,-0.048177901131853496,-0.17355371900826447,11,11,0.7421082590238243
2,PCA_R,alpha,with mouse cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,92.0,0.04178899680298453,True,False,0.8550038866987318,0.620629153905884,0.23437473279284782,0.5206611570247934,11,11,0.13929665600994842
3,PCA_R,alpha,with mouse cup,control_sex,Ntg_m,Ntg_f,Welch t-test,-0.3312298688626774,0.7445089205303734,True,True,0.632310978329319,0.6688070550377375,-0.03649607670841848,-0.2066115702479339,11,11,0.9306361506629668
4,PCA_R,alpha,without mouse cup,male_genotype,3xTg_m,Ntg_m,Mann–Whitney U,86.0,0.10066768749863966,False,True,0.792833136827941,0.6395806107494947,0.1532525260784463,0.4214876033057851,11,11,0.25166921874659914
5,PCA_R,alpha,without mouse cup,female_genotype,3xTg_f,Ntg_f,Mann–Whitney U,53.0,0.6457638203049723,True,False,0.6475294583833033,0.6979707417938023,-0.050441283410498916,-0.12396694214876033,11,11,0.7421082590238243
6,PCA_R,alpha,without mouse cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,81.0,0.18908180596451618,False,True,0.792833136827941,0.6475294583833033,0.14530367844463765,0.33884297520661155,11,11,0.37816361192903236
7,PCA_R,alpha,without mouse cup,control_sex,Ntg_m,Ntg_f,Mann–Whitney U,39.0,0.16790547565263503,True,False,0.6395806107494947,0.6979707417938023,-0.05839013104430757,-0.35537190082644626,11,11,0.9306361506629668
8,PCA_R,beta,with mouse cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,0.754261557537801,0.4594854574302303,True,True,0.4457004739734447,0.38433165486539395,0.061368819108050754,0.15702479338842976,11,11,0.8225839086980415
9,PCA_R,beta,with mouse cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,-0.6364719519043699,0.5316873362835521,True,True,0.29711952138444997,0.3481522442049831,-0.051032722820533116,-0.17355371900826447,11,11,0.7421082590238243
10,PCA_R,beta,with mouse cup,disease_sex,3xTg_m,3xTg_f,Welch t-test,1.8441908088144514,0.0800212715279134,True,True,0.4457004739734447,0.29711952138444997,0.14858095258899473,0.4214876033057851,11,11,0.2000531788197835
11,PCA_R,beta,with mouse cup,control_sex,Ntg_m,Ntg_f,Welch t-test,0.4467686367070252,0.6598469166720424,True,True,0.38433165486539395,0.3481522442049831,0.03617941066041086,0.10743801652892562,11,11,0.9306361506629668
12,PCA_R,beta,without mouse cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,0.6974561069953986,0.4935503452188249,True,True,0.44188557826753,0.3859012092658256,0.05598436900170439,0.024793388429752067,11,11,0.8225839086980415
13,PCA_R,beta,without mouse cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,0.4354524633232293,0.6678974331214419,True,True,0.372945623044974,0.33751416544589596,0.03543145759907801,0.10743801652892562,11,11,0.7421082590238243
14,PCA_R,beta,without mouse cup,disease_sex,3xTg_m,3xTg_f,Welch t-test,0.8565931006814694,0.40182479226279366,True,True,0.44188557826753,0.372945623044974,0.06893995522255603,0.008264462809917356,11,11,0.502280990328492
15,PCA_R,beta,without mouse cup,control_sex,Ntg_m,Ntg_f,Welch t-test,0.5962143988611515,0.5577204611890443,True,True,0.3859012092658256,0.33751416544589596,0.04838704381992964,0.12396694214876033,11,11,0.9306361506629668
16,PCA_R,delta,with mouse cup,male_genotype,3xTg_m,Ntg_m,Mann–Whitney U,58.0,0.8955142436987509,False,False,0.16212838006889702,0.1418381282252913,0.020290251843605722,-0.04132231404958678,11,11,1.0
17,PCA_R,delta,with mouse cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,-1.0876241422405948,0.2953353812636262,True,True,0.12918668281218063,0.18189887731680257,-0.052712194504621945,-0.2231404958677686,11,11,0.7421082590238243
18,PCA_R,delta,with mouse cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,55.0,0.7426659029196823,False,True,0.16212838006889702,0.12918668281218063,0.03294169725671639,-0.09090909090909091,11,11,0.8251843365774247
19,PCA_R,delta,with mouse cup,control_sex,Ntg_m,Ntg_f,Mann–Whitney U,51.0,0.5545304064894243,False,True,0.1418381282252913,0.18189887731680257,-0.04006074909151128,-0.15702479338842976,11,11,0.9306361506629668
20,PCA_R,delta,without mouse cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,0.5077047350613043,0.6192148774541706,True,True,0.17334671742438126,0.14146987997158478,0.031876837452796486,-0.05785123966942149,11,11,0.8845926820773866
21,PCA_R,delta,without mouse cup,female_genotype,3xTg_f,Ntg_f,Mann–Whitney U,53.0,0.6457638203049723,True,False,0.11308301617919074,0.16942507093375367,-0.05634205475456293,-0.12396694214876033,11,11,0.7421082590238243
22,PCA_R,delta,without mouse cup,disease_sex,3xTg_m,3xTg_f,Welch t-test,1.0018202991355478,0.33494569659299345,True,True,0.17334671742438126,0.11308301617919074,0.060263701245190524,0.09090909090909091,11,11,0.47849385227570496
23,PCA_R,delta,without mouse cup,control_sex,Ntg_m,Ntg_f,Mann–Whitney U,59.0,0.9476445296225945,True,False,0.14146987997158478,0.16942507093375367,-0.02795519096216889,-0.024793388429752067,11,11,0.9476445296225945
24,PCA_R,gamma,with mouse cup,male_genotype,3xTg_m,Ntg_m,Mann–Whitney U,62.0,0.9476445296225945,False,True,0.10088174086200606,0.08178161537380758,0.019100125488198477,0.024793388429752067,11,11,1.0
25,PCA_R,gamma,with mouse cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,0.4981870135928677,0.6253899287293543,True,True,0.09179237145968216,0.08281386843532448,0.008978503024357681,0.05785123966942149,11,11,0.7421082590238243
26,PCA_R,gamma,with mouse cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,60.0,1.0,False,True,0.10088174086200606,0.09179237145968216,0.009089369402323896,-0.008264462809917356,11,11,1.0
27,PCA_R,gamma,with mouse cup,control_sex,Ntg_m,Ntg_f,Welch t-test,-0.07215467606645581,0.943251235992977,True,True,0.08178161537380758,0.08281386843532448,-0.0010322530615168996,0.008264462809917356,11,11,0.9476445296225945
28,PCA_R,gamma,without mouse cup,male_genotype,3xTg_m,Ntg_m,Mann–Whitney U,61.0,1.0,False,True,0.09375140455711016,0.07819172142417039,0.015559683132939775,0.008264462809917356,11,11,1.0
29,PCA_R,gamma,without mouse cup,female_genotype,3xTg_f,Ntg_f,Mann–Whitney U,83.0,0.14856177489186861,True,False,0.10757895251354262,0.07358606833743621,0.03399288417610641,0.371900826446281,11,11,0.7421082590238243
30,PCA_R,gamma,without mouse cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,42.0,0.23721752775378102,False,True,0.09375140455711016,0.10757895251354262,-0.013827547956432457,-0.30578512396694213,11,11,0.39536254625630174
31,PCA_R,gamma,without mouse cup,control_sex,Ntg_m,Ntg_f,Mann–Whitney U,71.0,0.5114059218501164,True,False,0.07819172142417039,0.07358606833743621,0.004605653086734177,0.17355371900826447,11,11,0.9306361506629668
32,PCA_R,theta,with mouse cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,2.9164094533798655,0.008590123758669084,True,True,0.6516380767984464,0.43266896712972,0.21896910966872646,0.6033057851239669,11,11,0.04295061879334542
33,PCA_R,theta,with mouse cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,-0.19723103697283786,0.8456565050217895,True,True,0.4432304744985258,0.46582206718740654,-0.022591592688880724,-0.024793388429752067,11,11,0.8456565050217895
34,PCA_R,theta,with mouse cup,disease_sex,3xTg_m,3xTg_f,Welch t-test,2.1965108018485777,0.04123896397355422,True,True,0.6516380767984464,0.4432304744985258,0.2084076022999206,0.45454545454545453,11,11,0.13929665600994842
35,PCA_R,theta,with mouse cup,control_sex,Ntg_m,Ntg_f,Welch t-test,-0.3356666007378089,0.7414069151833937,True,True,0.43266896712972,0.46582206718740654,-0.03315310005768657,0.024793388429752067,11,11,0.9306361506629668
36,PCA_R,theta,without mouse cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,2.1851804318495285,0.0409453774962895,True,True,0.6083054970413645,0.41003377484360276,0.19827172219776174,0.5041322314049587,11,11,0.13648459165429835
37,PCA_R,theta,without mouse cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,-1.273549181958807,0.21858583832178496,True,True,0.38434979121692475,0.509269222389102,-0.12491943117217724,-0.256198347107438,11,11,0.7421082590238243
38,PCA_R,theta,without mouse cup,disease_sex,3xTg_m,3xTg_f,Welch t-test,2.5714449216406723,0.01829125272575381,True,True,0.6083054970413645,0.38434979121692475,0.22395570582443974,0.6033057851239669,11,11,0.13929665600994842
39,PCA_R,theta,without mouse cup,control_sex,Ntg_m,Ntg_f,Welch t-test,-0.9792838176512519,0.33961327788301554,True,True,0.41003377484360276,0.509269222389102,-0.09923544754549923,-0.2892561983471074,11,11,0.9306361506629668
