pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.12028595756167666,0.9056737265692352,0.1952866812979729,0.07956777995994611,11,0.1839558306247847,0.05042293986869316,11,0.12662708263920985,0.66119413773478,0.9056737265692352,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,83.0,0.14856177489186861,0.7083598937697959,0.07871908759322248,11,0.5367806634968959,0.08465649377504868,11,0.03504065595206336,0.4645733609912495,0.7178472149118367,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,74.0,0.3931680195635848,0.8635979392633046,0.0741763955213385,11,0.7986820454167517,0.07573682054740731,11,3.48068569403365e-05,0.009022034129262835,0.7178472149118367,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.39257720116108036,0.6991275613011829,0.6274658549636501,0.05013265130901258,11,0.5944644034881821,0.06747892668985894,11,0.9477609365906723,0.7050726403701384,0.8739094516264786,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,48.0,0.430708328947102,0.11103537992722477,0.03169010300348265,11,0.1273841841987244,0.025330875216093632,11,0.015511603548608525,0.3728983690690785,0.7178472149118367,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,57.0,0.915878445665947,0.145103072640381,0.07640788136995019,10,0.09249911520229886,0.03946085338711317,11,0.001543752663393218,0.015770379359042387,0.915878445665947,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,47.0,0.5974062696275562,0.4488411068046716,0.06923864670292215,10,0.5326614602807122,0.1019139998165608,11,0.03877747236194446,0.1107790849345878,0.915878445665947,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,35.0,0.16970614227251246,0.5432690195490105,0.11289488311231909,10,0.7623934007154485,0.09839973433934383,11,0.2277696192513083,0.0013822797354245268,0.8485307113625623,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.9508853008273898,0.3542222408913074,0.34548131023749273,0.09816336743550995,10,0.4671878297443856,0.08213478495325395,11,0.4192641808656245,0.5192069140263111,0.8855556022282685,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.3222378852778528,0.751587199953799,0.11336487970542417,0.025570689812149126,10,0.10360217663968782,0.016248755486235486,11,0.7298983993884803,0.6775172491420308,0.915878445665947,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,57.0,0.915878445665947,0.1952866812979729,0.07956777995994611,11,0.145103072640381,0.07640788136995019,10,0.12662708263920985,0.001543752663393218,0.915878445665947,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,85.0,0.03777134895141663,0.7083598937697959,0.07871908759322248,11,0.4488411068046716,0.06923864670292215,10,0.03504065595206336,0.03877747236194446,0.06295224825236105,False,True
ACA_R–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,88.0,0.022103704915562395,0.8635979392633046,0.0741763955213385,11,0.5432690195490105,0.11289488311231909,10,3.48068569403365e-05,0.2277696192513083,0.058201072612720034,False,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,2.55828633820445,0.023280429045088015,0.6274658549636501,0.05013265130901258,11,0.34548131023749273,0.09816336743550995,10,0.9477609365906723,0.4192641808656245,0.058201072612720034,False,True
ACA_R–PCA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,50.0,0.7513343125576336,0.11103537992722477,0.03169010300348265,11,0.11336487970542417,0.025570689812149126,10,0.015511603548608525,0.7298983993884803,0.915878445665947,False,False
ACA_R–PCA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,81.0,0.18908180596451618,0.1839558306247847,0.05042293986869316,11,0.09249911520229886,0.03946085338711317,11,0.66119413773478,0.015770379359042387,0.614230061482078,False,False
ACA_R–PCA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.03109103997875877,0.9755154070126765,0.5367806634968959,0.08465649377504868,11,0.5326614602807122,0.1019139998165608,11,0.4645733609912495,0.1107790849345878,1.0,False,False
ACA_R–PCA_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,60.0,1.0,0.7986820454167517,0.07573682054740731,11,0.7623934007154485,0.09839973433934383,11,0.009022034129262835,0.0013822797354245268,1.0,False,False
ACA_R–PCA_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,1.1973422728153749,0.2456920245928312,0.5944644034881821,0.06747892668985894,11,0.4671878297443856,0.08213478495325395,11,0.7050726403701384,0.5192069140263111,0.614230061482078,False,False
ACA_R–PCA_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.7902459020765163,0.4402453090946652,0.1273841841987244,0.025330875216093632,11,0.10360217663968782,0.016248755486235486,11,0.3728983690690785,0.6775172491420308,0.7337421818244421,False,False
